date,ticker,ret
2015-10-01,WBA,0.019
2015-10-01,BA,0.1307
2015-10-01,PFE,0.0767
2015-10-01,JNJ,0.0823
2015-10-01,MMM,0.1089
2015-10-01,MRK,0.1067
2015-10-01,DIS,0.1129
2015-10-01,MCD,0.1392
2015-10-01,JPM,0.061
2015-10-01,WMT,-0.1172
2015-10-01,NKE,0.0655
2015-10-01,AXP,-0.0078
2015-10-01,INTC,0.1234
2015-10-01,TRV,0.1342
2015-10-01,VZ,0.0904
2015-10-01,HD,0.0706
2015-10-01,CSCO,0.107
2015-10-01,GS,0.0791
2015-10-01,V,0.1137
2015-10-01,UNH,0.0153
2015-11-01,MSFT,0.0393
2015-11-01,KO,0.0142
2015-11-01,XOM,-0.0042
2015-11-01,IBM,0.0046
2015-11-01,CVX,0.0166
2015-11-01,AAPL,-0.0057
2015-11-01,UTX,-0.0175
2015-11-01,PG,-0.0202
2015-11-01,DOW,0.0089
2015-11-01,CAT,-0.0047
2015-11-01,WBA,-0.0034
2015-11-01,BA,-0.0115
2015-11-01,PFE,-0.0228
2015-11-01,JNJ,0.0095
2015-11-01,MMM,0.0025
2015-11-01,MRK,-0.0302
2015-11-01,DIS,-0.0024
2015-11-01,MCD,0.0249
2015-11-01,JPM,0.0378
2015-11-01,WMT,0.028
2015-11-01,NKE,0.0095
2015-11-01,AXP,-0.0221
2015-11-01,INTC,0.034
2015-11-01,TRV,0.0149
2015-11-01,VZ,-0.0305
2015-11-01,HD,0.0828
2015-11-01,CSCO,-0.0555
2015-11-01,GS,0.0169
2015-11-01,V,0.0202
2015-11-01,UNH,-0.043
2015-12-01,MSFT,0.0208
2015-12-01,KO,0.008
2015-12-01,XOM,-0.0454
2015-12-01,IBM,-0.0129
2015-12-01,CVX,-0.0149
2015-12-01,AAPL,-0.1102
2015-12-01,UTX,0.0002
2015-12-01,PG,0.0611
2015-12-01,DOW,-0.0036
2015-12-01,CAT,-0.0646
2015-12-01,WBA,0.0134
2015-12-01,BA,-0.0059
2015-12-01,PFE,-0.015
2015-12-01,JNJ,0.0146
2015-12-01,MMM,-0.0379
2015-12-01,MRK,0.0051
2015-12-01,DIS,-0.0677
2015-12-01,MCD,0.0349
2015-12-01,JPM,-0.0097
2015-12-01,WMT,0.0501
2015-12-01,NKE,-0.0526
2015-12-01,AXP,-0.0292
2015-12-01,INTC,-0.0092
2015-12-01,TRV,-0.0096
2015-12-01,VZ,0.0169
2015-12-01,HD,-0.0078
2015-12-01,CSCO,-0.0035
2015-12-01,GS,-0.0515
2015-12-01,V,-0.0185
2015-12-01,UNH,0.0482
2016-01-01,MSFT,-0.007
2016-01-01,KO,-0.0009
2016-01-01,XOM,-0.0013
2016-01-01,IBM,-0.0932
2016-01-01,CVX,-0.0388
